AWB,ConsigneePostal,KiloWgt,PieceQty,CommitDate,DestLocCd,CourierRoute
7.91E+11,64000,5,1,19/9/2012,MKZ,
1.14E+11,40460,0,1,19/9/2012,XKL,929928
7.90E+11,47620,0.5,1,19/9/2013,XKL,939934
8.14E+11,50200,0.3,1,19/9/2013,KUL,823
7.91E+11,64000,5,1,19/9/2012,MKZ,
7.90E+11,87000,9.8,1,19/9/2017,LBU,
7.90E+11,43000,0.1,1,19/9/2013,RDN,
4.76E+11,46150,237,30,19/9/2012,XKL,KULAAA
4.39E+11,47500,53.1,5,19/9/2017,XKL,930932
7.90E+11,41100,0.5,1,19/9/2013,XKL,993916
7.90E+11,51200,1.3,1,19/9/2013,KUL,859
7.76E+11,75450,0.5,1,19/9/2013,MKZ,
8.13E+11,50088,0.5,1,19/9/2013,KUL,827
4.63E+11,78000,1.4,1,19/9/2017,MKZ,
4.76E+11,63000,0.2,1,19/9/2013,XKL,969938
1.22E+11,86000,10.3,1,19/9/2017,KUD,
1.22E+11,81550,5.7,1,19/9/2017,JHB,
4.76E+11,81200,2.6,1,19/9/2013,JHB,
7.76E+11,40000,1,1,19/9/2013,XKL,911926
7.90E+11,57000,0,1,19/9/2013,KUL,872
7.90E+11,48050,0.3,1,19/9/2017,XKL,
4.75E+11,71800,0.1,1,19/9/2013,RDN,
4.75E+11,47000,0.5,1,19/9/2013,XKL,980982
1.21E+11,47300,63.3,3,19/9/2012,XKL,MKZAC8
7.76E+11,47100,4,1,19/9/2013,XKL,963936
7.76E+11,40300,8,1,19/9/2017,XKL,925926
4.89E+11,50088,2.6,1,19/9/2012,KUL,827
4.89E+11,50490,0.9,1,19/9/2013,KUL,857
7.76E+11,6000,1.1,1,19/9/2017,SZB,
4.81E+11,75250,27.3,2,19/9/2012,MKZ,
8.10E+11,62200,2,1,19/9/2013,XKL,969938
4.39E+11,64000,5.5,1,19/9/2012,MKZ,
7.76E+11,81300,1,1,19/9/2013,JHB,
8.12E+11,43200,0.5,1,19/9/2013,KUL,895
7.76E+11,64000,28.5,3,19/9/2017,MKZ,
7.76E+11,64000,37.5,1,19/9/2017,KUL,863
4.89E+11,47100,1.1,1,19/9/2013,XKL,965936
4.89E+11,52200,1.1,1,19/9/2013,KUL,
4.89E+11,50250,1.1,1,19/9/2013,KUL,827
4.89E+11,58100,1.1,1,19/9/2013,KUL,873
4.89E+11,47000,1.1,1,19/9/2013,XKL,KULAAA
4.89E+11,53100,1.1,1,19/9/2013,KUL,839
4.89E+11,42300,1.1,1,19/9/2017,SZB,
4.89E+11,46200,1.1,1,19/9/2013,KUL,863
